Date,SPY_ret,SPY_strat,SPY_eq,SPY_tgt,AAPL_ret,AAPL_strat,AAPL_eq,AAPL_tgt,MSFT_ret,MSFT_strat,MSFT_eq,MSFT_tgt,Portfolio_Strategy_Return,Portfolio_BuyHold_Return,Portfolio_Equity,BuyHold_Equity
2022-03-25,0.004883492285467916,0.0,1.0,1,0.003734236784437961,0.0,1.0,1,-0.0013812376929369652,0.0,1.0,1,0.0,0.002412163792322971,1.0,1.002412163792323
2022-03-28,0.007113104665465331,0.0,1.0,1,0.005036672319511437,0.0,1.0,1,0.023116607073142115,0.023116607073142115,1.0231166070731421,1,0.007705535691047372,0.011755461352706295,1.0077055356910474,1.0141959812432662
2022-03-29,0.012371027576404181,0.0,1.0,0,0.01913441938246807,0.0,1.0,0,0.015159375337229664,0.0,1.0231166070731421,0,0.0,0.015554940765367306,1.0077055356910474,1.0299717396559787
2022-03-30,-0.006174918089942305,0.0,1.0,0,-0.006649449806581775,0.0,1.0,0,-0.004914455695268494,0.0,1.0231166070731421,0,0.0,-0.005912941197264192,1.0077055356910474,1.023881577324549
2022-03-31,-0.01539119877867634,0.0,1.0,1,-0.017776123048006465,0.0,1.0,0,-0.017682922563888814,0.0,1.0231166070731421,1,0.0,-0.016950081463523874,1.0077055356910474,1.0065267011798966
2022-04-01,0.0028340975941820723,0.0028340975941820723,1.002834097594182,1,-0.0017180201791480165,0.0,1.0,1,0.0036002474089205094,0.0,1.0231166070731421,1,0.0009446991980606908,0.0015721082746515218,1.0086575143024958,1.0081090701354793
2022-04-04,0.008566451835199329,0.008566451835199329,1.0114248275899183,0,0.02369346119754101,0.0,1.0,0,0.017936761994349792,0.0,1.0231166070731421,0,0.002855483945066443,0.016732225009030044,1.0115377196406574,1.0249769779306301
2022-04-05,-0.012631151243873817,0.0,1.0114248275899183,0,-0.018941907604028585,0.0,1.0,0,-0.012985474030097532,-0.012985474030097532,1.0098309529422322,0,-0.004328491343365844,-0.014852844292666645,1.0071592873777047,1.0097531544738585
2022-04-06,-0.009999476032901189,-0.009999476032901189,1.0013111092673517,1,-0.018450962335970544,0.0,1.0,1,-0.03660549457223694,0.0,1.0098309529422322,1,-0.0033331586776337296,-0.02168531098036956,1.0038022656592223,0.9878563433056837
2022-04-07,0.005038922052549744,0.005038922052549744,1.006356637897302,0,0.0018041632532543872,0.0,1.0,0,0.006243801046623698,0.0,1.0098309529422322,0,0.0016796406841832479,0.004362295450809277,1.0054882927834987,0.9921656645381393
